Depth [m]	Counts
461	0.488061
462	0.609201
463	0.609201
464	0.421852
465	0.421852
466	0.506787
467	0.506787
468	0.555656
469	0.555656
470	0.521368
471	0.521368
472	0.388845
473	0.388845
474	0.50654
475	0.50654
476	0.454281
477	0.454281
478	0.640275
479	0.640275
480	0.45601
481	0.45601
482	0.571731
483	0.571731
484	0.608314
485	0.608314
486	0.504953
487	0.504953
488	0.41969
489	0.41969
490	0.538438
491	0.538438
492	0.489025
493	0.489025
494	0.403958
495	0.403958
496	0.42143
497	0.42143
498	0.320558
499	0.320558
500	0.235877
501	0.235877
502	0.252578
503	0.252578
504	0.319567
505	0.319567
506	0.304047
507	0.304047
508	0.303103
509	0.303103
510	0.286882
511	0.286882
512	0.321275
513	0.321275
514	0.304269
515	0.304269
516	0.25337
517	0.25337
518	0.320408
519	0.320408
520	0.251912
521	0.251912
522	0.454027
523	0.454027
524	0.302676
525	0.302676
526	0.168306
527	0.168306
528	0.269643
529	0.269643
530	0.235862
531	0.235862
532	0.303252
533	0.303252
534	0.218865
535	0.218865
536	0.21973
537	0.21973
538	0.21878
539	0.21878
540	0.252256
541	0.252256
542	0.184928
543	0.184928
544	0.185512
545	0.185512
546	0.218826
547	0.218826
548	0.236758
549	0.236758
550	0.387304
551	0.387304
552	0.269247
553	0.269247
554	0.286314
555	0.286314
556	0.134738
557	0.134738
558	0.236594
559	0.236594
560	0.186218
561	0.186218
562	0.251484
563	0.251484
564	0.0848702
565	0.0848702
566	0.168641
567	0.168641
568	0.151958
569	0.151958
570	0.237226
571	0.237226
572	0.186074
573	0.186074
574	0.184938
575	0.184938
576	0.167902
577	0.167902
578	0.10139
579	0.10139
580	0.203326
581	0.203326
582	0.050519
583	0.050519
584	0.118047
585	0.118047
586	0.151319
587	0.151319
588	0.219381
589	0.219381
590	0.218572
591	0.218572
592	0.100953
593	0.100953
594	0.117812
595	0.117812
596	0.235463
597	0.235463
598	0.169887
599	0.169887
600	0.2186
601	0.2186
602	0.150786
603	0.150786
604	0.204002
605	0.204002
606	0.11759
607	0.11759
608	0.152265
609	0.152265
610	0.0501716
611	0.0501716
612	0.152216
613	0.152216
614	0.117672
615	0.117672
616	0.185207
617	0.185207
618	0.116864
619	0.116864
620	0.118053
621	0.118053
622	0.202318
623	0.202318
624	0.168366
625	0.168366
626	0.101257
627	0.101257
628	0.100979
629	0.100979
630	0.0838262
631	0.0838262
632	0.21957
633	0.21957
634	0.13454
635	0.13454
636	0.0510579
637	0.0510579
638	0.152262
639	0.152262
640	0.0840638
641	0.0840638
642	0.151261
643	0.151261
644	0.184793
645	0.184793
646	0.151521
647	0.151521
648	0.200761
649	0.200761
650	0.101056
651	0.101056
652	0.185772
653	0.185772
654	0.118512
655	0.118512
656	0.101469
657	0.101469
658	0.152004
659	0.152004
660	0.168817
661	0.168817
662	0.151922
663	0.151922
664	0.0672915
665	0.0672915
666	0.13487
667	0.13487
668	0.118828
669	0.118828
670	0.0835227
671	0.0835227
672	0.0838116
673	0.0838116
674	0.0846669
675	0.0846669
676	0.235282
677	0.235282
678	0.168672
679	0.168672
680	0.15213
681	0.15213
682	0.135052
683	0.135052
684	0.168655
685	0.168655
686	0.0676527
687	0.0676527
688	0.100718
689	0.100718
690	0.152088
691	0.152088
692	0.135594
693	0.135594
694	0.152636
695	0.152636
696	0.0841756
697	0.0841756
698	0.135193
699	0.135193
700	0.101041
701	0.101041
702	0.135321
703	0.135321
704	0.0672696
705	0.0672696
706	0.100426
707	0.100426
708	0.100733
709	0.100733
710	0.0678562
711	0.0678562
712	0.135137
713	0.135137
714	0.118318
715	0.118318
716	0.0502461
717	0.0502461
718	0.168451
719	0.168451
720	0.135117
721	0.135117
722	0.100738
723	0.100738
724	0.0841467
725	0.0841467
726	0.135636
727	0.135636
728	0.185879
729	0.185879
730	0.118843
731	0.118843
732	0.101048
733	0.101048
734	0.184264
735	0.184264
736	0.201925
737	0.201925
738	0.218873
739	0.218873
740	0.167951
741	0.167951
742	0.117441
743	0.117441
744	0.067475
745	0.067475
746	0.0670948
747	0.0670948
748	0.136248
749	0.136248
750	0.067009
751	0.067009
752	0.134787
753	0.134787
754	0.0676705
755	0.0676705
756	0.152421
757	0.152421
758	0.13571
759	0.13571
760	0.150805
761	0.150805
762	0.185756
763	0.185756
764	0.0845484
765	0.0845484
766	0.0845556
767	0.0845556
